"compound"	"label"	"case"	"pos"	"head.word"	"head.pos"	"sentence"	"citat"	"text"	"cpdID"	"pos1"	"pos2"	"lemma1"	"lemma2"	"intLabel"	"cpdType"	"endoExo"	"lemma1id"	"lemma2id"	"occID1"	"occID2"	"time.slot"	"veda"	"sakha"	"group"	"register"
"viśva-rūpām"	"acl"	"Acc"	"NOUN"	"vadhūm"	"NOUN"	"yāṃ kalpayanti vahatau vadhūm iva viśvarūpāṃ hastakṛtāṃ cikitsavaḥ /"	"AVŚ, 10, 1, 1"	"Atharvaveda (Śaunaka)"	4484	"ADJ"	"NOUN"	"viśva"	"rūpa"	"det"	"attrib"	"exo"	139262	71929	4756536	4756537	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"viśva-rūpāṇām"	"acl"	"Gen"	"NOUN"	"kanyānām"	"NOUN"	"kanyānāṃ viśvarūpāṇāṃ mano gṛbhāyauṣadhe //"	"AVŚ, 2, 30, 4"	"Atharvaveda (Śaunaka)"	4243	"ADJ"	"NOUN"	"viśva"	"rūpa"	"det"	"attrib"	"exo"	139262	71929	4708111	4708112	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"viśva-rūpaḥ"	"acl"	"Nom"	"NOUN"	"savitā"	"NOUN"	"garbhe nu nau janitā dampatī kar devas tvaṣṭā savitā viśvarūpaḥ /"	"ṚV, 10, 10, 5"	"Ṛgveda"	3810	"ADJ"	"NOUN"	"viśva"	"rūpa"	"det"	"attrib"	"exo"	139262	71929	4298494	4298495	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"viśva-rūpaḥ"	"acl"	"Nom"	"NOUN"	"ātmā"	"NOUN"	"anantaś cātmā viśvarūpo hy akartā trayaṃ yadā vindate brahmam etat //"	"ŚvetU, 1, 9"	"Śvetāśvataropaniṣad"	2073	"ADJ"	"NOUN"	"viśva"	"rūpa"	"det"	"attrib"	"exo"	139262	71929	2520544	2520545	"5-SU"	"Black YV"	"None"	"U"	"metrical"
"viśva-rūpaḥ"	"acl"	"Nom"	"NOUN"	"saḥ"	"PRON"	"sa viśvarūpas triguṇas trivartmā prāṇādhipaḥ saṃcarati svakarmabhiḥ //"	"ŚvetU, 5, 7"	"Śvetāśvataropaniṣad"	2170	"ADJ"	"NOUN"	"viśva"	"rūpa"	"det"	"attrib"	"exo"	139262	71929	2521979	2521980	"5-SU"	"Black YV"	"None"	"U"	"metrical"
"viśva-rūpam"	"acl"	"Acc"	"NOUN"	"devam"	"NOUN"	"taṃ viśvarūpaṃ bhavabhūtam īḍyaṃ devaṃ svacittastham upāsya pūrvam //"	"ŚvetU, 6, 5"	"Śvetāśvataropaniṣad"	2203	"ADJ"	"NOUN"	"viśva"	"rūpa"	"det"	"attrib"	"exo"	139262	71929	2522218	2522219	"5-SU"	"Black YV"	"None"	"U"	"metrical"
"viśva-rūpam"	"acl"	"Acc"	"NOUN"	"vāsaḥ"	"NOUN"	"vāso agne viśvarūpaṃ saṃvyayasva vibhāvaso //"	"VSM, 11, 40"	"Vājasaneyisaṃhitā (Mādhyandina)"	6819	"ADJ"	"NOUN"	"viśva"	"rūpa"	"det"	"attrib"	"exo"	139262	71929	5093431	5093432	"2-MA"	"White YV"	"Mādhyandina"	"S"	"metrical"
"viśva-rūpā"	"conj"	"Nom"	"NOUN"	"śīrṣaṇvatī"	"ADJ"	"śīrṣaṇvatī nasvatī karṇiṇī kṛtyākṛtā saṃbhṛtā viśvarūpā /"	"AVŚ, 10, 1, 2"	"Atharvaveda (Śaunaka)"	4487	"ADJ"	"NOUN"	"viśva"	"rūpa"	"det"	"attrib"	"exo"	139262	71929	4756553	4756554	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"viśva-vārā"	"acl"	"Voc"	"NOUN"	"aśvinā"	"NOUN"	"ā viśvavārāśvinā gataṃ naḥ pra tat sthānam avāci vām pṛthivyām /"	"ṚV, 7, 70, 1"	"Ṛgveda"	3584	"ADJ"	"NOUN"	"viśva"	"vāra"	"det"	"attrib"	"exo"	139262	46498	4630674	4630675	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"viśva-vāram"	"acl"	"Acc"	"NOUN"	"bṛhaspatim"	"NOUN"	"ādityebhir aditiṃ viśvajanyām bṛhaspatim ṛkvabhir viśvavāram //"	"ṚV, 7, 10, 4"	"Ṛgveda"	3530	"ADJ"	"NOUN"	"viśva"	"vāra"	"det"	"attrib"	"exo"	139262	46554	4598087	4598088	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"viśva-vāram"	"acl"	"Acc"	"NOUN"	"rayim"	"NOUN"	"asme indrāvaruṇā viśvavāraṃ rayiṃ dhattaṃ vasumantam purukṣum /"	"ṚV, 7, 84, 4"	"Ṛgveda"	3592	"ADJ"	"NOUN"	"viśva"	"vāra"	"det"	"attrib"	"exo"	139262	46554	4637134	4637135	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"viśva-vārasya"	"acl"	"Gen"	"NOUN"	"rāyaḥ"	"NOUN"	"asme pra yandhi maghavann ṛjīṣinn indra rāyo viśvavārasya bhūreḥ /"	"ṚV, 3, 36, 10"	"Ṛgveda"	3317	"ADJ"	"NOUN"	"viśva"	"vāra"	"det"	"attrib"	"exo"	139262	46554	4434057	4434058	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"viśva-vāraḥ"	"appos"	"Nom"	"NOUN"	"savitā"	"NOUN"	"patir iva jāyām abhi no ny etu dhartā divaḥ savitā viśvavāraḥ //"	"ṚV, 10, 149, 4"	"Ṛgveda"	4026	"ADJ"	"NOUN"	"viśva"	"vāra"	"det"	"attrib"	"exo"	139262	46554	4366082	4366083	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"viśva-vāraḥ"	"nsubj"	"Nom"	"NOUN"	"ajyate"	"VERB"	"samidhyamānaḥ prathamānu dharmā sam aktubhir ajyate viśvavāraḥ /"	"ṚV, 3, 17, 1"	"Ṛgveda"	3295	"ADJ"	"NOUN"	"viśva"	"vāra"	"det"	"attrib"	"exo"	139262	46554	4425956	4425957	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"viśva-vedase"	"acl"	"Dat"	"NOUN"	"pṛthivyai"	"NOUN"	"dive ca viśvavedase pṛthivyai cākaraṃ namaḥ //"	"AVŚ, 1, 32, 4"	"Atharvaveda (Śaunaka)"	4222	"ADJ"	"NOUN"	"viśva"	"vedas"	"det"	"attrib"	"exo"	139262	142595	4540535	4540536	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"viśva-vedāḥ"	"acl"	"Nom"	"NOUN"	"asuraḥ"	"NOUN"	"astabhnād dyām asuro viśvavedā amimīta varimāṇam pṛthivyāḥ /"	"ṚV, 8, 42, 1"	"Ṛgveda"	3675	"ADJ"	"NOUN"	"viśva"	"vedas"	"det"	"attrib"	"exo"	139262	142561	4729703	4729704	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"viśva-vedasaḥ"	"acl"	"Nom"	"NOUN"	"marutaḥ"	"NOUN"	"agniś ca yan maruto viśvavedaso divo vahadhva uttarād adhi ṣṇubhiḥ /"	"ṚV, 5, 60, 7"	"Ṛgveda"	3436	"ADJ"	"NOUN"	"viśva"	"vedas"	"det"	"attrib"	"exo"	139262	142561	4468861	4468862	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"viśva-vedasam"	"root"	"Acc"	"NOUN"			"āganma viśvavedasam asmabhyaṃ vasuvittamam /"	"VSM, 3, 38"	"Vājasaneyisaṃhitā (Mādhyandina)"	6715	"ADJ"	"NOUN"	"viśva"	"vedas"	"det"	"attrib"	"exo"	139262	142561	5015652	5015653	"2-MA"	"White YV"	"Mādhyandina"	"S"	"metrical"
"viśva-vyacasam"	"acl"	"Acc"	"NOUN"	"indram"	"NOUN"	"uruṃ gabhīraṃ januṣābhy ugraṃ viśvavyacasam avatam matīnām /"	"ṚV, 3, 46, 4"	"Ṛgveda"	3321	"ADJ"	"NOUN"	"viśva"	"vyacas"	"amod"	"attrib"	"exo"	139262	118810	4438290	4438291	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"viśvāyu-vepasam"	"acl"	"Acc"	"NOUN"	"agnim"	"NOUN"	"agniṃ viśvāyuvepasam maryaṃ na vājinaṃ hitam /"	"ṚV, 8, 43, 25"	"Ṛgveda"	3681	"ADJ"	"NOUN"	"viśvāyu"	"vepas"	"amod"	"attrib"	"exo"	139363	142656	4730023	4730024	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"vīta-pṛṣṭhāḥ"	"acl"	"Nom"	"NOUN"	"tanvaḥ"	"NOUN"	"vaiśvānarīṃ sūnṛtām ā rabhadhvaṃ yasyā āśās tanvo vītapṛṣṭhāḥ /"	"AVŚ, 6, 62, 2"	"Atharvaveda (Śaunaka)"	4416	"ADJ"	"NOUN"	"vīta"	"pṛṣṭha"	"amod"	"attrib"	"exo"	141480	150091	4747415	4747416	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"vṛdha-snū"	"acl"	"Acc"	"ADJ"	"atyā"	"NOUN"	"atyā vṛdhasnū rohitā ghṛtasnū ṛtasya manye manasā javiṣṭhā /"	"ṚV, 4, 2, 3"	"Ṛgveda"	3336	"ADJ"	"NOUN"	"vṛdha"	"snu"	"amod"	"attrib"	"exo"	218736	219562	4432773	4432774	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"yugma-kṛṣṇalam"	"obj"	"Acc"	"NOUN"	"badhnāti"	"VERB"	"asmin vasu yad ābadhnan nava prāṇān iti yugmakṛṣṇalam ādiṣṭānāṃ sthālīpāka ādhāya badhnāti //"	"KauśS, 7, 3, 20"	"Kauśikasūtra"	169	"ADJ"	"NOUN"	"yugma"	"kṛṣṇala"	"amod"	"attrib"	"endo"	64749	4362	4794365	4794366	"5-SU"	"AV"	"Śaunaka"	"GS"	"prose"
"yuva-jāniḥ"	"acl"	"Nom"	"NOUN"	"mahāṁ"	"ADJ"	"mahāṁ iva yuvajāniḥ //"	"ṚV, 8, 2, 19"	"Ṛgveda"	3635	"ADJ"	"NOUN"	"yuvan"	"jānī"	"amod"	"attrib"	"exo"	64888	88720	4706818	4706819	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"sa-aṃsam"	"acl"	"Nom"	"NOUN"	"pārśvam"	"NOUN"	"hanū sajihve prastotuḥ śyenaṃ vakṣa udgātuḥ kaṇṭhaḥ kākudraḥ pratihartur dakṣiṇā śroṇir hotuḥ savyā brahmaṇo dakṣiṇaṃ sakthi maitrāvaruṇasya savyam brāhmaṇācchaṃsino dakṣiṇam pārśvaṃ sāṃsam adhvaryoḥ savyam upagātṝṇāṃ savyo'ṃsaḥ pratiprasthātur dakṣiṇaṃ dor neṣṭuḥ savyam potur dakṣiṇa ūrur achāvākasya savya āgnīdhrasya dakṣiṇo bāhur ātreyasya savyaḥ sadasyasya sadaṃ cānūkaṃ ca gṛhapater dakṣiṇau pādau gṛhapater vratapradasya savyau pādau gṛhapater bhāryāyai vratapradasyauṣṭha enayoḥ sādhāraṇo bhavati taṃ gṛhapatir eva praśiṃṣyāj jāghanīm patnībhyo haranti tām brāhmaṇāya dadyuḥ skandhyāś ca maṇikās tisraś ca kīkasā grāvastutas tisraś caiva kīkasā ardhaṃ ca vaikartasyonnetur ardhaṃ caiva vaikartasya klomā ca śamitus tad brāhmaṇāya dadyād yady abrāhmaṇaḥ syāc chiraḥ subrahmaṇyāyai yaḥ śvaḥsutyām prāha tasyājinam iﾱā sarveṣāṃ hotur vā //"	"AB, 7, 1, 2"	"Aitareyabrāhmaṇa"	4908	"ADV"	"NOUN"	"sa"	"aṃsa"	"advmod"	"attrib"	"exo"	202954	168548	4924619	4924620	"4-PL"	"RV"	"Āśvalāyana"	"B"	"prose"
"sa-aṇḍaḥ"	"acl"	"Nom"	"NOUN"	"anaḍvān"	"NOUN"	"anaḍvānt sāṇḍa aindrāgne //"	"KātyŚS, 15, 1, 15"	"Kātyāyanaśrautasūtra"	6143	"ADV"	"NOUN"	"sa"	"aṇḍa"	"advmod"	"attrib"	"exo"	202954	6758	5420888	5420889	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"sa-aṅgaḥ"	"acl"	"Nom"	"NOUN"	"ayam"	"PRON"	"atho hekṣate 'yaṃ vāva mām anuṣṭhyā saṃbharati hantāyaṃ sāṅgaḥ satanur avihruto jarasaṃ gacchatv iti //"	"JB, 1, 8, 9"	"Jaiminīyabrāhmaṇa"	5086	"ADV"	"NOUN"	"sa"	"aṅga"	"advmod"	"attrib"	"exo"	202954	6145	5038632	5038633	"4-PL"	"SV"	"Jaiminīya"	"B"	"prose"
"sa-aṅgaḥ"	"acl"	"Nom"	"NOUN"	"sa"	"PRON"	"sa ha sāṅga eva satanur avihruto jarasaṃ gacchati //"	"JB, 1, 8, 10"	"Jaiminīyabrāhmaṇa"	5089	"ADV"	"NOUN"	"sa"	"aṅga"	"advmod"	"attrib"	"exo"	202954	6145	5038641	5038642	"4-PL"	"SV"	"Jaiminīya"	"B"	"prose"
"sa-aṅgaḥ"	"xcomp"	"Nom"	"NOUN"	"bhavati"	"VERB"	"atrāgniḥ sāṅgaḥ satanūḥ prīto bhavati //"	"KauṣB, 1, 1, 19"	"Kauṣītakibrāhmaṇa"	6600	"ADV"	"NOUN"	"sa"	"aṅga"	"advmod"	"attrib"	"exo"	202954	6145	4970270	4970271	"4-PL"	"RV"	"Śāṅkhāyana"	"B"	"prose"
"sa-aṅguṣṭham"	"acl"	"Acc"	"NOUN"	"hastam"	"NOUN"	"romānte hastaṃ sāṅguṣṭham ubhayakāmaḥ //"	"ĀśvGS, 1, 7, 5"	"Āśvalāyanagṛhyasūtra"	1230	"ADV"	"NOUN"	"sa"	"aṅguṣṭha"	"advmod"	"attrib"	"exo"	202954	6299	3197800	3197801	"5-SU"	"RV"	"Āśvalāyana"	"GS"	"prose"
"sa-aṅguṣṭham"	"acl"	"Acc"	"NOUN"	"pāṇim"	"NOUN"	"avasiktāyāḥ savyena pāṇināñjalim upodgṛhya dakṣiṇena pāṇinā dakṣiṇaṃ pāṇiṃ sāṅguṣṭham uttānaṃ gṛhītvaitāḥ ṣaṭ pāṇigrahaṇīyā japati gṛbhṇāmi ta iti //"	"GobhGS, 2, 2, 16"	"Gobhilagṛhyasūtra"	373	"ADV"	"NOUN"	"sa"	"aṅguṣṭha"	"advmod"	"attrib"	"exo"	202954	6299	5178867	5178868	"5-SU"	"SV"	"Kauthuma"	"GS"	"prose"
"sa-aṅguṣṭham"	"acl"	"Acc"	"NOUN"	"pāṇim"	"NOUN"	"dakṣiṇaṃ pāṇiṃ sāṅguṣṭhaṃ gṛhṇīyāt gṛbhṇāmi ta iti ṣaḍbhiḥ //"	"KhādGS, 1, 3, 31"	"Khādiragṛhyasūtra"	886	"ADV"	"NOUN"	"sa"	"aṅguṣṭha"	"advmod"	"attrib"	"exo"	202954	6299	3197797	3197798	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"sa-aṅguṣṭham"	"acl"	"Acc"	"NOUN"	"pāṇim"	"NOUN"	"gṛbhṇāmi te saubhagatvāya hastam iti dakṣiṇena pāṇinā dakṣiṇaṃ pāṇiṃ gṛhṇāti sāṅguṣṭham uttānenottānaṃ tiṣṭhann āsīnāyāḥ prāṅmukhyāḥ pratyaṅmukhaḥ //"	"ŚāṅkhGS, 1, 13, 2"	"Śāṅkhāyanagṛhyasūtra"	1543	"ADV"	"NOUN"	"sa"	"aṅguṣṭha"	"advmod"	"attrib"	"exo"	202954	6299	5021765	5021766	"5-SU"	"RV"	"Śāṅkhāyana"	"GS"	"prose"
"sa-anucaryaḥ"	"acl"	"Nom"	"ADJ"	"pālāgalī"	"NOUN"	"patnyaś cāyanty alaṃkṛtā niṣkiṇyo mahiṣī vāvātā parivṛktā pālāgalī sānucaryaḥ śatena śatena //"	"KātyŚS, 20, 1, 12"	"Kātyāyanaśrautasūtra"	6218	"ADV"	"NOUN"	"sa"	"anucara"	"advmod"	"attrib"	"exo"	202954	10781	5415350	5415351	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"sa-anucaryaḥ"	"nsubj"	"Nom"	"ADJ"	"pratyāhuḥ"	"VERB"	"sānucaryaḥ pratyāhuḥ //"	"KātyŚS, 20, 6, 19"	"Kātyāyanaśrautasūtra"	6314	"ADV"	"NOUN"	"sa"	"anucara"	"advmod"	"attrib"	"exo"	202954	10781	5416944	5416945	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"sa-anucarīḥ"	"obj"	"Acc"	"ADJ"	"dadāti"	"VERB"	"udavasānīyānte bhāryā dadāti yathāsaṃvādaṃ sānucarīḥ //"	"KātyŚS, 20, 8, 24"	"Kātyāyanaśrautasūtra"	6354	"ADV"	"NOUN"	"sa"	"anucara"	"advmod"	"attrib"	"exo"	202954	10781	5417404	5417405	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"sa-anumārjanāḥ"	"conj"	"Nom"	"NOUN"	"kalpāḥ"	"NOUN"	"evam ime sarve vedā nirmitāḥ sakalpāḥ sarahasyāḥ sabrāhmaṇāḥ sopaniṣatkāḥ setihāsāḥ sānvākhyānāḥ sapurāṇāḥ sasvarāḥ sasaṃskārāḥ saniruktāḥ sānuśāsanāḥ sānumārjanāḥ savākovākyāḥ //"	"GB, 1, 2, 10, 11"	"Gopathabrāhmaṇa"	5700	"ADV"	"NOUN"	"sa"	"anumārjana"	"advmod"	"attrib"	"exo"	202954	208600	4920128	4920129	"4-PL"	"AV"	"Paippalāda"	"B"	"prose"
"sa-anuśāsanāḥ"	"conj"	"Nom"	"NOUN"	"kalpāḥ"	"NOUN"	"evam ime sarve vedā nirmitāḥ sakalpāḥ sarahasyāḥ sabrāhmaṇāḥ sopaniṣatkāḥ setihāsāḥ sānvākhyānāḥ sapurāṇāḥ sasvarāḥ sasaṃskārāḥ saniruktāḥ sānuśāsanāḥ sānumārjanāḥ savākovākyāḥ //"	"GB, 1, 2, 10, 11"	"Gopathabrāhmaṇa"	5699	"ADV"	"NOUN"	"sa"	"anuśāsana"	"advmod"	"attrib"	"exo"	202954	11359	4920126	4920127	"4-PL"	"AV"	"Paippalāda"	"B"	"prose"
"sa-anvākhyānāḥ"	"conj"	"Nom"	"NOUN"	"kalpāḥ"	"NOUN"	"evam ime sarve vedā nirmitāḥ sakalpāḥ sarahasyāḥ sabrāhmaṇāḥ sopaniṣatkāḥ setihāsāḥ sānvākhyānāḥ sapurāṇāḥ sasvarāḥ sasaṃskārāḥ saniruktāḥ sānuśāsanāḥ sānumārjanāḥ savākovākyāḥ //"	"GB, 1, 2, 10, 11"	"Gopathabrāhmaṇa"	5694	"ADV"	"NOUN"	"sa"	"anvākhyāna"	"advmod"	"attrib"	"exo"	202954	20593	4920116	4920117	"4-PL"	"AV"	"Paippalāda"	"B"	"prose"
"sa-apasavyam"	"orphan"	"Acc"	"ADJ"	"brahmāṇam"	"NOUN"	"sāyam agniś cetyādinācamya tathā prokṣya yac ciddhītyādibhiḥ sāmabhirupāsyāsīnastathā karotyuditārkāṃ paścimārkāmiti ca saṃdhye yathādiśaṃ tannāmādinā digdevatāḥ pitṝn sāpasavyaṃ brahmāṇaṃ codaṅmukho nārāyaṇādīn namo'ntenopatiṣṭheta //"	"VaikhGṛS, 1, 3, 8"	"Vaikhānasagṛhyasūtra"	540	"ADV"	"NOUN"	"sa"	"apasavya"	"advmod"	"attrib"	"exo"	202954	21196	5443106	5443107	"5-SU"	"Black YV"	"Taittirīya"	"GS"	"prose"
"sa-ātapaiḥ"	"acl"	"Ins"	"NOUN"	"varṣaiḥ"	"NOUN"	"divaś cyutair gāṅgeyair ādhāvaiḥ sātapair varṣair vāsecanaṃ divyam //"	"VaikhGṛS, 1, 5, 2"	"Vaikhānasagṛhyasūtra"	563	"ADV"	"NOUN"	"sa"	"ātapa"	"advmod"	"attrib"	"exo"	202954	57690	2955110	2955111	"5-SU"	"Black YV"	"Taittirīya"	"GS"	"prose"
"sa-atirātram"	"conj"	"Nom"	"NOUN"	"ṣaṣṭha"	"ADJ"	"śeṣaṃ pṛṣṭhyaṣaṣṭhavat sātirātram //"	"VaitS, 4, 3, 25"	"Vaitānasūtra"	7010	"ADV"	"NOUN"	"sa"	"atirātra"	"advmod"	"attrib"	"exo"	202954	7246	5256272	5256273	"5-SU"	"AV"	"Śaunaka"	"ŚS"	"prose"
"sa-bandhavaḥ"	"root"	"Nom"	"NOUN"			"aśvā ived aruṣāsaḥ sabandhavaḥ śūrā iva prayudhaḥ prota yuyudhuḥ /"	"ṚV, 5, 59, 5"	"Ṛgveda"	3429	"ADV"	"NOUN"	"sa"	"bandhu"	"advmod"	"attrib"	"exo"	202954	153639	4468217	4468218	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"sa-bhūmi"	"advmod"	"Nom"	"NOUN"	"puruṣamedha"	"NOUN"	"puruṣamedhavad dakṣiṇā sabhūmi //"	"KātyŚS, 21, 2, 13"	"Kātyāyanaśrautasūtra"	6381	"ADV"	"NOUN"	"sa"	"bhūmi"	"advmod"	"attrib"	"exo"	202954	25418	5417852	5417853	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"sa-brahmacāriṇaḥ"	"root"	"Nom"	"NOUN"			"sudakṣiṇo ha vai kṣaimiḥ prācīnaśālir jābālau te ha sabrahmacāriṇa āsuḥ //"	"JUB, 3, 7, 2"	"Jaiminīya-Upaniṣad-Brāhmaṇa"	6570	"ADV"	"NOUN"	"sa"	"brahmacārin"	"advmod"	"attrib"	"exo"	202954	149604	5140851	5140852	"4-PL"	"SV"	"Jaiminīya"	"B"	"prose"
"sa-brāhmaṇāḥ"	"conj"	"Nom"	"NOUN"	"kalpāḥ"	"NOUN"	"evam ime sarve vedā nirmitāḥ sakalpāḥ sarahasyāḥ sabrāhmaṇāḥ sopaniṣatkāḥ setihāsāḥ sānvākhyānāḥ sapurāṇāḥ sasvarāḥ sasaṃskārāḥ saniruktāḥ sānuśāsanāḥ sānumārjanāḥ savākovākyāḥ //"	"GB, 1, 2, 10, 11"	"Gopathabrāhmaṇa"	5691	"ADV"	"NOUN"	"sa"	"brāhmaṇa"	"advmod"	"attrib"	"exo"	202954	149744	5272688	5272689	"4-PL"	"AV"	"Paippalāda"	"B"	"prose"
"sa-chandasaḥ"	"xcomp"	"Nom"	"NOUN"	"kartavyāḥ"	"VERB"	"sachandasaḥ kartavyā na vichandasaḥ //"	"AB, 1, 25, 12"	"Aitareyabrāhmaṇa"	4758	"ADV"	"NOUN"	"sa"	"chandas"	"advmod"	"attrib"	"exo"	202954	52557	4630165	4630166	"3-PO"	"RV"	"Āśvalāyana"	"B"	"prose"
"sa-chandasaḥ"	"xcomp"	"Nom"	"NOUN"	"kartavyāḥ"	"VERB"	"tasmāt sachandasa eva kartavyā na vichandasaḥ //"	"AB, 1, 25, 14"	"Aitareyabrāhmaṇa"	4759	"ADV"	"NOUN"	"sa"	"chandas"	"advmod"	"attrib"	"exo"	202954	52557	4630181	4630182	"3-PO"	"RV"	"Āśvalāyana"	"B"	"prose"
"sa-dānaḥ"	"conj"	"Nom"	"NOUN"	"dānaḥ"	"NOUN"	"sa praketa ubhayasya pravidvān sahasradāna uta vā sadānaḥ /"	"ṚV, 7, 33, 12"	"Ṛgveda"	3547	"ADV"	"NOUN"	"sa"	"dāna"	"advmod"	"attrib"	"exo"	202954	146095	4614708	4614709	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"sa-darbhe"	"acl"	"Acc"	"NOUN"	"vapāśrapaṇyau"	"NOUN"	"śṛtāṃ darbheṣūdagagreṣu nidhāyājyabhāgaparivapyau hutvā vapāṃ devatāyā upanāmayed upyaparivapyau hutvā sadarbhe vapāśrapaṇyā agnā anuprahṛtyāpohiṣṭhīyābhir mārjayitvoktāny avadānāni prāk sviṣṭakṛto devatāyai baliṃ haret //"	"KāṭhGS, 51, 12"	"Kāṭhakagṛhyasūtra"	1873	"ADV"	"NOUN"	"sa"	"darbha"	"advmod"	"attrib"	"exo"	202954	145820	5230098	5230099	"5-SU"	"Black YV"	"Kaṭha"	"GS"	"prose"
"sa-devena"	"acl"	"Ins"	"NOUN"	"yajñena"	"NOUN"	"sadevena yajñena yajate ya evaṃ veda //"	"PB, 6, 2, 6"	"Pañcaviṃśabrāhmaṇa"	2779	"ADV"	"NOUN"	"sa"	"deva"	"advmod"	"attrib"	"exo"	202954	86559	5093660	5093661	"4-PL"	"SV"	"Kauthuma"	"B"	"prose"
"sa-dhūmam"	"acl"	"Nom"	"NOUN"	"tat"	"PRON"	"yat sadhūmaṃ tad vaiśvadevam //"	"KS, 6, 7, 67"	"Kāṭhakasaṃhitā"	7231	"ADV"	"NOUN"	"sa"	"dhūma"	"advmod"	"attrib"	"exo"	202954	42817	5366969	5366970	"3-PO"	"Black YV"	"Kaṭha"	"S"	"prose"
"sa-diśam"	"xcomp"	"Acc"	"NOUN"	"kalpayati"	"VERB"	"viṣṇoḥ karmāṇīti dvābhyām agniṣṭhām aśrim āhavanīyāgninā sadiśaṃ kalpayati //"	"VaikhŚS, 10, 9, 3"	"Vaikhānasaśrautasūtra"	7774	"ADV"	"NOUN"	"sa"	"diś"	"advmod"	"attrib"	"exo"	202954	84570	5425899	5425900	"5-SU"	"Black YV"	"Taittirīya"	"ŚS"	"prose"
"sa-graham"	"obj"	"Acc"	"NOUN"	"juhoti"	"VERB"	"tena yakṣyamāṇo 'māvāsyāyāṃ paurṇamāsyāṃ vā ṣaḍḍhotāraṃ manasānudrutyāhavanīye sagrahaṃ juhoti sūryaṃ te cakṣur iti //"	"ĀpŚS, 7, 1, 2"	"Āpastambaśrautasūtra"	5788	"ADV"	"NOUN"	"sa"	"graha"	"advmod"	"attrib"	"exo"	202954	125579	5189835	5189836	"5-SU"	"Black YV"	"Taittirīya"	"ŚS"	"prose"
"sa-graham"	"obj"	"Acc"	"NOUN"	"juhoti"	"VERB"	"paśubandhena yakṣyamāṇaḥ ṣaḍḍhotāraṃ manasānudrutyāhavanīye sagrahaṃ juhoti //"	"BhārŚS, 7, 1, 1"	"Bhāradvājaśrautasūtra"	7080	"ADV"	"NOUN"	"sa"	"graha"	"advmod"	"attrib"	"exo"	202954	125579	5238070	5238071	"5-SU"	"Black YV"	"Taittirīya"	"ŚS"	"prose"
"sa-indram"	"xcomp"	"Acc"	"NOUN"	"karoti"	"VERB"	"indrasya yujyaḥ sakhetīndro vai yajñasya devatā vaiṣṇavo yūpas taṃ sendraṃ karoti tasmād āhendrasya yujyaḥ sakheti //"	"ŚBM, 3, 7, 1, 17"	"Śatapathabrāhmaṇa"	2461	"ADV"	"NOUN"	"sa"	"indra"	"advmod"	"attrib"	"exo"	202954	63463	5214869	5214870	"4-PL"	"White YV"	"Mādhyandina"	"B"	"prose"
"sa-iṣukāḥ"	"acl"	"Nom"	"NOUN"	"tūṇyaḥ"	"NOUN"	"carmatūṇyaḥ seṣukāḥ //"	"KātyŚS, 15, 3, 32"	"Kātyāyanaśrautasūtra"	6173	"ADV"	"NOUN"	"sa"	"iṣukā"	"advmod"	"attrib"	"exo"	202954	219856	5423006	5423007	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
