"compound"	"label"	"case"	"pos"	"head.word"	"head.pos"	"sentence"	"citat"	"text"	"cpdID"	"pos1"	"pos2"	"lemma1"	"lemma2"	"intLabel"	"cpdType"	"endoExo"	"lemma1id"	"lemma2id"	"occID1"	"occID2"	"time.slot"	"veda"	"sakha"	"group"	"register"
"bhauma-divyān"	"obj"	"Acc"	"ADJ"	"tarpayāmi"	"VERB"	"atha nivītī bhaumāṃstarpayāmi bhaumadivyāṃstarpayāmi nāgāṃstarpayāmi nāgadivyāṃstarpayāmi yāvanto jalārthinastāvantaḥ pratigṛhṇantvity apo visṛjyācamya brahmayajñaṃ karoti //"	"VaikhGṛS, 1, 4, 8"	"Vaikhānasagṛhyasūtra"	555	"ADJ"	"ADJ"	"bhauma"	"divya"	"amod"	"attrib"	"endo"	26212	147116	895624	895625	"5-SU"	"Black YV"	"Taittirīya"	"GS"	"prose"
"cara-acaraḥ"	"root"	"Nom"	"ADJ"			"śrotraṃ te cakre āstāṃ divi panthāś carācaraḥ //"	"ṚV, 10, 85, 11"	"Ṛgveda"	4000	"ADJ"	"ADJ"	"cara"	"acara"	"compound"	"coord"	"endo"	164440	6331	5404121	5404122	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"dakṣiṇa-uttānau"	"orphan"	"Acc"	"ADJ"	"paścimāyām"	"ADJ"	"dakṣiṇottānau paścimāyāṃ namo vaḥ pitaraḥ svadhāyai namo vaḥ pitaro manyava iti //"	"KhādGS, 3, 5, 26"	"Khādiragṛhyasūtra"	999	"ADJ"	"ADJ"	"dakṣiṇa"	"uttāna"	"compound"	"coord"	"endo"	100605	55604	4998695	4998696	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"dakṣiṇa-uttānau"	"xcomp"	"Acc"	"ADJ"	"kṛtvā"	"VERB"	"pūrvasyāṃ karṣvāṃ dakṣiṇottānau pāṇī kṛtvā namo vaḥ jīvāya namo vaḥ pitaraḥ śūṣāyeti //"	"KhādGS, 3, 5, 24"	"Khādiragṛhyasūtra"	999	"ADJ"	"ADJ"	"dakṣiṇa"	"uttāna"	"compound"	"coord"	"endo"	100605	55604	4998675	4998676	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"dakṣiṇa-uttare"	"acl"	"Nom"	"ADJ"	"devayajane"	"NOUN"	"abhiṣecanīyadaśapeyayor dakṣiṇottare devayajane //"	"KātyŚS, 15, 3, 47"	"Kātyāyanaśrautasūtra"	6180	"ADJ"	"ADJ"	"dakṣiṇa"	"uttara"	"compound"	"coord"	"endo"	100605	55672	5423077	5423078	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"dakṣiṇa-uttarābhyām"	"acl"	"Ins"	"ADJ"	"hastābhyām"	"NOUN"	"utsṛjyāpo devasya ta iti dakṣiṇottarābhyāṃ hastābhyāmañjaliṃ gṛhṇīyādācāryaḥ //"	"KhādGS, 2, 4, 13"	"Khādiragṛhyasūtra"	955	"ADJ"	"ADJ"	"dakṣiṇa"	"uttara"	"compound"	"coord"	"endo"	100605	55672	4995762	4995763	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"dakṣiṇa-uttaraḥ"	"root"	"Nom"	"ADJ"			"dakṣiṇottaraḥ sandhiḥ //"	"JaimGS, 1, 1, 29"	"Jaiminigṛhyasūtra"	593	"ADJ"	"ADJ"	"dakṣiṇa"	"uttara"	"compound"	"coord"	"endo"	100605	55672	1234607	1234608	"5-SU"	"SV"	"Jaiminīya"	"GS"	"prose"
"dakṣiṇā-uttarau"	"acl"	"Acc"	"ADJ"	"pāṇī"	"NOUN"	"prāg vodag vā grāmānniṣkramya apa āplutya śucau deśe yajñopavītyācamyāklinnavāsā darbhāṇāṃ mahad upastīrya prākkūlānāṃ teṣu prāṅmukha upaviśyopasthaṃ kṛtvā dakṣiṇottarau pāṇī saṃdhāya pavitravantau /"	"ĀśvGS, 3, 2, 2"	"Āśvalāyanagṛhyasūtra"	1370	"ADJ"	"ADJ"	"dakṣiṇā"	"uttara"	"compound"	"coord"	"endo"	100609	55672	5009999	5010000	"5-SU"	"RV"	"Āśvalāyana"	"GS"	"prose"
"dakṣiṇā-uttarau"	"xcomp"	"Acc"	"ADJ"	"kṛtvā"	"VERB"	"dakṣiṇottarau pāṇī pādau kṛtvā sapavitrāv om iti pratipadyata etad vai yajus trayīṃ vidyāṃ praty eṣā vāg etat paramam akṣaram //"	"TĀ, 2, 11, 4"	"Taittirīyāraṇyaka"	7271	"ADJ"	"ADJ"	"dakṣiṇā"	"uttara"	"compound"	"coord"	"endo"	100609	55672	5284136	5284137	"4-PL"	"Black YV"	"Taittirīya"	"Ā"	"prose"
"hrasva-udāttaḥ"	"root"	"Nom"	"ADJ"			"hrasvodātta ekākṣara oṃkāro 'tharvavede //"	"GB, 1, 1, 25, 13"	"Gopathabrāhmaṇa"	5649	"ADJ"	"ADJ"	"hrasva"	"udātta"	"obl"	"subord"	"endo"	57256	56428	4898740	4898741	"4-PL"	"AV"	"Paippalāda"	"B"	"prose"
